Algorithm,Input Type,Dataset Size (N),Mean Execution Time (s),Mean Comparisons
Bubble Sort,Random,100,0.000035,4895
Heap Sort,Random,100,0.000012,1028
Insertion Sort,Random,100,0.000013,2636
Merge Sort,Random,100,0.000015,542
Quick Sort (Median of Three),Random,100,0.000009,785
Radix Sort,Random,100,0.000007,99
Selection Sort,Random,100,0.000020,4950
Bubble Sort,Reverse Sorted,100,0.000030,4950
Heap Sort,Reverse Sorted,100,0.000011,944
Insertion Sort,Reverse Sorted,100,0.000019,4950
Merge Sort,Reverse Sorted,100,0.000010,316
Quick Sort (Median of Three),Reverse Sorted,100,0.000006,868
Radix Sort,Reverse Sorted,100,0.000004,99
Selection Sort,Reverse Sorted,100,0.000014,4950
Bubble Sort,Sorted,100,0.000000,99
Heap Sort,Sorted,100,0.000012,1081
Insertion Sort,Sorted,100,0.000001,99
Merge Sort,Sorted,100,0.000012,356
Quick Sort (Median of Three),Sorted,100,0.000004,669
Radix Sort,Sorted,100,0.000005,99
Selection Sort,Sorted,100,0.000015,4950
Bubble Sort,Random,500,0.000798,124372
Heap Sort,Random,500,0.000097,7443
Insertion Sort,Random,500,0.000228,63070
Merge Sort,Random,500,0.000086,3859
Quick Sort (Median of Three),Random,500,0.000051,5199
Radix Sort,Random,500,0.000029,499
Selection Sort,Random,500,0.001513,124750
Bubble Sort,Reverse Sorted,500,0.000523,124750
Heap Sort,Reverse Sorted,500,0.000080,7010
Insertion Sort,Reverse Sorted,500,0.000457,124750
Merge Sort,Reverse Sorted,500,0.000053,2216
Quick Sort (Median of Three),Reverse Sorted,500,0.000038,6790
Radix Sort,Reverse Sorted,500,0.000022,499
Selection Sort,Reverse Sorted,500,0.000604,124750
Bubble Sort,Sorted,500,0.000002,499
Heap Sort,Sorted,500,0.000089,7756
Insertion Sort,Sorted,500,0.000002,499
Merge Sort,Sorted,500,0.000044,2272
Quick Sort (Median of Three),Sorted,500,0.000017,4263
Radix Sort,Sorted,500,0.000028,499
Selection Sort,Sorted,500,0.000328,124750
Bubble Sort,Random,1000,0.002094,496725
Heap Sort,Random,1000,0.000219,16909
Insertion Sort,Random,1000,0.000972,253779
Merge Sort,Random,1000,0.000187,8740
Quick Sort (Median of Three),Random,1000,0.000120,11104
Radix Sort,Random,1000,0.000068,999
Selection Sort,Random,1000,0.001748,499500
Bubble Sort,Reverse Sorted,1000,0.003585,499500
Heap Sort,Reverse Sorted,1000,0.000172,15965
Insertion Sort,Reverse Sorted,1000,0.001641,499500
Merge Sort,Reverse Sorted,1000,0.000096,4932
Quick Sort (Median of Three),Reverse Sorted,1000,0.000091,15849
Radix Sort,Reverse Sorted,1000,0.000050,999
Selection Sort,Reverse Sorted,1000,0.001484,499500
